UID,Province,GKG
4001,Aceh,0.8786
4002,Sumatera Utara,0.8574
4003,Sumatera Barat,0.8686
4004,Riau,0.8876
4005,Jambi,0.8476
4006,Sumatera Selatan,0.8586
4007,Bengkulu,0.8547
4008,Lampung,0.8292
4009,Kep. Bangka Belitung,0.7412
4010,Kep. Riau,0.8273
4011,DKI Jakarta,0.8412
4012,Jawa Barat,0.8199
4013,Jawa Tengah,0.826
4014,DI Yogyakarta,0.8087
4015,Jawa Timur,0.8317
4016,Banten,0.8304
4017,Bali,0.8456
4018,Nusa Tenggara Barat,0.83
4019,Nusa Tenggara Timur,0.8939
4020,Kalimantan Barat,0.8554
4021,Kalimantan Tengah,0.8576
4022,Kalimantan Selatan,0.8628
4023,Kalimantan Timur,0.8667
4024,Kalimantan Utara,0.8163
4025,Sulawesi Utara,0.8604
4026,Sulawesi Tengah,0.8579
4027,Sulawesi Selatan,0.8381
4028,Sulawesi Tenggara,0.8337
4029,Gorontalo,0.8425
4030,Sulawesi Barat,0.8398
4031,Maluku,0.8219
4032,Maluku Utara,0.8046
4033,Papua Barat,0.8568
4034,Papua,0.8421
