UID,Province,1/1/1964,1/1/1965,1/1/1966,1/1/1967,1/1/1968,1/1/1969,1/1/1970,1/1/1971,1/1/1972,1/1/1973,1/1/1974,1/1/1975,1/1/1976,1/1/1977,1/1/1978,1/1/1979,1/1/1980,1/1/1981,1/1/1982,1/1/1983,1/1/1984,1/1/1985,1/1/1986,1/1/1987,1/1/1988,1/1/1989,1/1/1990,1/1/1991,1/1/1992,1/1/1993,1/1/1994,1/1/1995,1/1/1996,1/1/1997,1/1/1998,1/1/1999,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,1/1/2017,1/1/2018,1/1/2019,1/1/2020
1001,ACEH,1861567.1,1714437.6,1757313.07,1634639.6,1509456,1460276.614,1381874.594,1303472.574,1225070.554,1146668.534,1168266.514,1179864.494,1171462.474,1148417.59685714,1134658.434,1146256.414,1147854.394,1149452.374,1128218.72134694,1124871.97345578,1121525.22556463,1118178.47767347,1114831.72978231,1111484.98189116,1129361.76599999,1130776.786,1136165.806,1145811.70805442,1153357.45728707,1160903.20651973,1159773.886,1160175.906,1160577.926,1160979.946,1161381.966,1161273.53916009,1161456.7962287,1161640.05329731,1161823.31036592,1162006.56743453,1162189.82450314,1162373.08157175,1162556.33864036,1162739.59570897,1162922.85277758,1163106.10984619,1163289.3669148,1163472.62398341,1163655.88105202,1163839.13812063,1164022.39518924,1164205.65225785,1164388.90932646,1164572.16639507,1164755.42346368,1164938.68053229,1165121.9376009
1002,SUMATERA UTARA,2108284.72,2078901.59,2040500.19,2004142.51,2088584,2173025.49,2257466.98,2244587.894,2283869.16085714,2323150.42771429,2362431.69457143,2401712.96142857,2440994.22828571,2480275.49514286,2519556.762,2558838.02885714,2598119.29571429,2637400.56257143,2676681.82942857,2715963.09628572,2755244.36314286,2794525.63,2833806.89685714,2873088.16371429,2912369.43057143,2951650.69742857,2990931.96428572,3030213.23114285,3069494.498,3108775.76485714,3148057.03171428,3187338.29857143,3226619.56542857,3265900.83228571,3305182.09914285,3344463.366,3383744.63285714,3423025.89971428,3462307.16657143,3501588.43342857,3540869.70028571,3580150.96714285,3619432.234,3658713.50085714,3697994.76771428,3737276.03457143,3776557.30142857,3815838.56828571,3855119.83514285,3894401.102,3933682.36885714,3972963.63571428,4012244.90257143,4051526.16942857,4090807.43628571,4130088.70314285,4169369.97
1003,SUMATERA BARAT,1483076.48,1482996.01,1387269.29,1317209.38,1373532,1345599.6,1338730.955,1346378.837,1354026.719,1361674.601,1369322.483,1352428.601,1351895.895,1347272.895,1356965.924,1354388.071,1355286.9679,1356185.8648,1357084.7617,1357983.6586,1358882.5555,1359781.4524,1360680.3493,1361579.2462,1362478.1431,1363377.04,1364275.9369,1365174.8338,1366073.7307,1366972.6276,1367871.5245,1368770.4214,1369669.3183,1370568.2152,1371467.1121,1372366.009,1373264.9059,1374163.8028,1375062.6997,1375961.5966,1376860.4935,1377759.3904,1378658.2873,1379557.1842,1380456.0811,1381354.978,1382253.8749,1383152.7718,1384051.6687,1384950.5656,1385849.4625,1386748.3594,1387647.2563,1388546.1532,1389445.0501,1390343.947,1391242.8439
1004,RIAU,266375.53,230873.97,243685.04,217458.87,213557.2,214674.594,215791.988,216909.382,215959.066,217076.46,217573.541,218070.622,218567.703,219064.784,219561.865,220058.946,220556.027,221053.108,221550.189,222047.27,222544.351,223041.432,223538.513,224035.594,224532.675,225029.756,225526.837,226023.918,226520.999,227018.08,227515.161,228012.242,228509.323,229006.404,229503.485,230000.566,230497.647,230994.728,231491.809,231988.89,232485.971,232983.052,233480.133,233977.214,234474.295,234971.376,235468.457,235965.538,236462.619,236959.7,237456.781,237953.862,238450.943,238948.024,239445.105,239942.186,240439.267
1005,JAMBI,383045.74,309932.68,386413.49,298149.25,277743.8,264340.799,242102.068,239863.337,247624.606,245385.875,243147.144,245908.413,243669.682,244430.950999999,245192.219999998,245953.488999997,246714.757999996,247476.026999995,248237.295999994,248998.564999993,249759.833999992,250521.102999991,251282.37199999,252043.640999989,252804.909999988,253566.178999987,254327.447999986,255088.716999985,255849.985999984,256611.254999983,257372.523999982,258133.792999981,258895.06199998,259656.330999979,260417.599999978,261178.868999977,261940.137999976,262701.406999975,263462.675999974,264223.944999973,264985.213999972,265746.482999971,266507.75199997,267269.020999969,268030.289999968,268791.558999967,269552.827999966,270314.096999965,271075.365999964,271836.634999963,272597.903999962,273359.172999961,274120.44199996,274881.710999959,275642.979999958,276404.248999958,277165.517999957
1006,SUMATERA SELATAN,2994191.84,2603396.24,2743059.68,2552443.19,2775069,2586872.371,2637952.498,2489032.625,2740112.752,2591192.879,2742273.006,2733353.133,2764433.26,2795513.387,2826593.514,2797673.641,2808753.768,2809833.895,2810914.022,2811994.149,2813074.276,2814154.403,2815234.53,2816314.657,2817394.784,2818474.911,2819555.038,2820635.165,2821715.292,2822795.419,2823875.546,2824955.673,2826035.8,2827115.927,2828196.054,2829276.181,2830356.308,2831436.435,2832516.562,2833596.689,2834676.816,2835756.943,2836837.07,2837917.197,2838997.324,2840077.451,2841157.578,2842237.705,2843317.832,2844397.959,2845478.086,2846558.213,2847638.34,2848718.467,2849798.594,2850878.721,2851958.848
1007,BENGKULU,288810.52,296472.07,292834.04,271117.19,281610.1,270629.836666667,270266.496,276290.924,272315.352,278339.78,278809.100533333,280555.9748,282302.849066666,284049.723333333,285796.5976,287543.471866666,280510.776,286535.204,282559.632,282344.476573333,281596.256666667,280848.03676,286657.344,286681.772,290562.78616,293479.65378,296396.5214,299313.38902,302230.25664,305147.12426,308063.99188,310980.8595,313897.72712,316814.59474,319731.46236,322648.32998,325565.1976,328482.06522,331398.93284,334315.80046,337232.66808,340149.5357,343066.40332,345983.27094,348900.13856,351817.00618,354733.8738,357650.74142,360567.60904,363484.47666,366401.34428,369318.2119,372235.07952,375151.94714,378068.81476,380985.68238,383902.55
1008,LAMPUNG,2488641.91,2164089.33,2650289.64,2485452.78,2688160,2511446.621,2783486.584,2711483.4437,2740722.2166,2840740.62795,2819358.44425,2839458.534725,2859558.6252,2879658.715675,2899758.80615,2919858.896625,2939958.9871,2960059.077575,2980159.16805,3000259.258525,3020359.349,3040459.439475,3060559.52995,3080659.620425,3100759.7109,3120859.801375,3140959.89185,3161059.982325,3181160.0728,3201260.163275,3221360.25375,3241460.344225,3261560.4347,3281660.525175,3301760.61565,3321860.706125,3341960.7966,3362060.887075,3382160.97755,3402261.068025,3422361.1585,3442461.248975,3462561.33945,3482661.429925,3502761.5204,3522861.610875,3542961.70135,3563061.791825,3583161.8823,3603261.972775,3623362.06325,3643462.153725,3663562.2442,3683662.334675,3703762.42515,3723862.515625,3743962.6061
1009,KEP. BANGKA BELITUNG,45724.69,48805.68,57324.32,70496.25,61425.07,67182.63,69233.005,71283.38,73333.755,75384.13,77434.505,79484.88,81535.255,83585.63,85636.005,87686.38,89736.755,91787.13,89936.755,90686.88,90786.88,90886.88,90986.88,91086.88,91186.88,91286.88,91386.88,91486.88,91586.88,91686.88,91786.88,91886.88,91986.88,92086.88,92186.88,92286.88,92386.88,92486.88,92586.88,92686.88,92786.88,92886.88,92986.88,93086.88,93186.88,93286.88,93386.88,93486.88,93586.88,93686.88,93786.88,93886.88,93986.88,94086.88,94186.88,94286.88,94386.88
1010,KEP. RIAU,1097,1150.8,852.54,855.01,506.91,449.661,502.064,554.467,606.87,659.273,711.676,764.079,816.482,868.885,921.288,973.691,1026.094,1078.497,1130.9,1183.303,1235.706,1288.109,1340.512,1392.915,1445.318,1497.721,1550.124,1244.45873684211,1177.50564912281,1050.87451754387,1322.80315789474,1348.91796491228,1375.03277192983,1401.14757894737,1427.26238596491,1453.37719298246,1479.492,1505.60680701754,1531.72161403509,1557.83642105263,1583.95122807017,1610.06603508772,1636.18084210526,1662.29564912281,1688.41045614035,1714.52526315789,1740.64007017544,1766.75487719298,1792.86968421053,1818.98449122807,1845.09929824561,1871.21410526316,1897.3289122807,1923.44371929824,1949.55852631579,1975.67333333333,2001.78814035088
