Province,UID,01/01/1964,01/01/1965,02/01/1966,03/01/1967,05/01/1968,05/01/1969,06/01/1970,07/01/1971,09/01/1972,09/01/1973,10/01/1974,11/01/1975,13/01/1976,13/01/1977,14/01/1978,15/01/1979,17/01/1980,17/01/1981,18/01/1982,19/01/1983,21/01/1984,21/01/1985,22/01/1986,23/01/1987,25/01/1988,25/01/1989,26/01/1990,27/01/1991,29/01/1992,29/01/1993,30/01/1994,31/01/1995,02/02/1996,02/02/1997,03/02/1998,04/02/1999,06/02/2000,06/02/2001,07/02/2002,08/02/2003,10/02/2004,10/02/2005,11/02/2006,12/02/2007,14/02/2008,14/02/2009,15/02/2010,16/02/2011,18/02/2012,18/02/2013,19/02/2014,20/02/2015,22/02/2016,22/02/2017,23/02/2018,24/02/2019,26/02/2020
Aceh,1,1359914.4743010127,1214864.616973644,1262494.987952474,1126488.7909856592,1003895.8413285956,951595.6686383096,870816.521849642,790048.4830093936,709291.5521175578,628545.7291741412,647811.014179138,657087.4071325534,646374.9080343846,621030.659741769,604983.2336832919,614304.0584303682,613635.9911258634,612979.0317697712,589501.5477090381,583922.0763586214,578353.712956627,572796.4575030422,567250.3099978704,561715.2704411271,577414.8708327768,576663.8150640257,579897.8672436806,587399.9094261678,592812.9067353047,598237.0119928637,594997.1554464524,593299.7473681836,591613.4472383343,589938.2550569009,588274.1708238806,586110.7476993692,584250.1164317902,582400.5931126303,580562.1777418832,578734.8703195556,576918.6708456441,575113.5793201447,573319.5957430649,571536.7201143975,569764.9524341497,568004.2927023149,566254.740918899,564516.2970838991,562788.9611973114,561072.7332591435,559367.6132693876,557673.6012280516,555990.6971351276,554318.9009906236,552658.2127945356,551008.6325468592,549370.1602476032
Bali,2,149693.97012298962,68067.48364238412,-13130.441201513866,32701.909337748308,84486.06294544332,13547.41905960394,-4334.689494167455,-22629.17902554444,-41336.04953453166,-60455.30102112843,-79986.933485338,-99930.94692715374,-120287.34134657869,-141056.11674361117,-162237.27311825915,-183830.8104705169,-205836.72880037548,-228255.02810785235,-251085.70839293904,-274328.7696556259,-297984.21189593186,-322052.0351138476,-346532.2393093626,-371424.8244824976,-396729.7906332421,-422447.137761586,-448576.86586754944,-475118.9749511231,-502073.46501230623,-529440.3360510882,-557219.5880674887,-585411.2210614911,-614015.2350331111,-643031.6299823449,-672460.405909174,-702301.5628136245,-732555.1006956847,-763221.0195553548,-794299.3193926215,-825790.0002075107,-857693.0619999968,-890008.5047701052,-922736.3285178232,-955876.5332431374,-989429.1189460749,-1023394.0856266216,-1057771.4332847644,-1092561.1619205307,-1127763.271533907,-1163377.7621248777,-1199404.633693473,-1235843.8862396777,-1272695.5197634774,-1309959.5342649017,-1347635.9297439358,-1385724.7062005636,-1424225.8636348164
Banten,3,-1928870.33800578,-2109687.5575144514,-1996809.5725722536,-2286146.3410404627,-2082311.8699421969,-2228346.473921966,-2279605.820901734,-2331759.068430635,-2384806.21650867,-2438747.2651358377,-2493582.214312139,-2549311.064037572,-2605933.8143121386,-2663450.465135838,-2721861.01650867,-2781165.4684306346,-2841363.820901734,-2902456.073921966,-2964442.2274913285,-3027322.2816098267,-3091096.236277456,-3155764.0914942194,-3221325.847260116,-3287781.5035751457,-3355131.0604393054,-3423374.5178526007,-3492511.875815029,-3562543.1343265893,-3633468.293387282,-3705287.3529971098,-3778000.3131560697,-3851607.1738641616,-3926107.935121387,-4001502.5969277457,-4077791.159283236,-4154973.622187861,-4233049.985641619,-4312020.2496445095,-4391884.414196532,-4472642.479297688,-4554294.444947976,-4636840.311147398,-4720280.077895954,-4804613.745193641,-4889841.313040463,-4975962.781436415,-5062978.150381504,-5150887.419875722,-5239690.5899190735,-5329387.660511561,-5419978.6316531785,-5511463.5033439305,-5603842.275583814,-5697114.9483728325,-5791281.521710981,-5886341.995598266,-5982296.370034682
Bengkulu,4,-582656.6221551421,-563209.5474096173,-557270.3323411723,-590395.7394489292,-590592.5254826254,-592962.989509535,-593346.7320294841,-587265.2767441208,-591106.3923201123,-584870.0787574586,-584111.4435228269,-581997.8254162162,-579806.7781709613,-577538.3017870602,-575192.396264514,-572769.0616033234,-579047.8679368198,-572192.1212650053,-575258.9454545453,-574487.9239321075,-574172.5377510234,-573779.7224312951,-566751.9508262549,-565431.6293225694,-560177.2925202386,-555809.673119263,-551364.624579642,-546842.1469013757,-542242.2400844647,-537564.9041289082,-532810.1390347069,-527977.9448018603,-523068.3214303684,-518081.2689202317,-513016.7872714496,-507874.8764840224,-502655.5365579501,-497358.7674932328,-491984.5692898701,-486532.9419478625,-481003.8854672096,-475397.3998479116,-469713.4850899684,-463952.14119338006,-458113.36815814686,-452197.1659842682,-446203.5346717445,-440132.47422057576,-433983.98463076167,-427758.06590230257,-421454.7180351984,-415073.9410294489,-408615.7348850543,-402080.0996020147,-395467.0351803299,-388776.5416199932,-382008.618921018
Yogyakarta,5,-2010981.4492852727,-1896366.171163596,-2086574.6517064425,-2204840.2671435634,-2200797.563632991,-2288867.172705948,-2360993.623734636,-2434174.155048225,-2508408.7666467167,-2583697.45853011,-2660040.2306984053,-2737437.0831516013,-2815888.0158897,-2895393.0289127,-2975952.122220601,-3057565.295813404,-3140232.54969111,-3223953.8838537163,-3308729.2983012246,-3394558.7930336343,-3481442.3680509464,-3569380.023353159,-3658371.7589402753,-3748417.574812292,-3839517.4709692094,-3931671.447411031,-4024879.5041377526,-4119141.641149376,-4214457.858445901,-4310828.156027328,-4408252.533893656,-4506730.992044888,-4606263.53048102,-4706850.1492020525,-4808490.848207988,-4911185.627498825,-5014934.487074563,-5119737.426935205,-5225594.447080747,-5332505.547511191,-5440470.728226536,-5549489.989226785,-5659563.330511933,-5770690.752081985,-5882872.253936935,-5996107.836076789,-6110397.498501547,-6225741.241211204,-6342139.064205762,-6459590.967485224,-6578096.951049587,-6697657.014898852,-6818271.159033018,-6939939.383452084,-7062661.6881560525,-7186438.073144925,-7311268.538418697
Jakarta,6,-812679.8614265335,-787520.0024108418,-796226.9801283882,-844820.2256728484,-857750.10446505,-863214.2096766549,-877269.0963214482,-892432.5108977678,-906804.4534056138,-921684.923844986,-936957.6422158846,-951108.6525183098,-966434.1566808328,-981585.9241082156,-996846.2194671248,-1012215.04275756,-1027692.3939795218,-1043278.27313301,-1058972.6802180246,-1074775.615234566,-1090687.0781826333,-1106707.069062227,-1122835.587873347,-1139072.6346159938,-1155418.2092901669,-1171872.3118958662,-1188434.9424330916,-1205106.100901844,-1221885.7873021225,-1238774.0016339277,-1255770.7438972583,-1272876.0140921164,-1290089.8122185003,-1307412.138276411,-1324842.992265848,-1342382.374186811,-1360030.2840393006,-1377786.7218233163,-1395651.6875388592,-1413625.181185928,-1431707.2027645234,-1449897.7522746446,-1468196.829716293,-1486604.435089467,-1505120.5683941685,-1523745.2296303953,-1542478.4187981486,-1561320.1358974287,-1580270.380928232,-1599329.1538905648,-1618496.454784424,-1637772.2836098094,-1657156.6403667212,-1676649.525055159,-1696250.937675124,-1715960.8782266155,-1735779.3467096323
Gorontalo,7,-231563.80035608308,-276775.778545994,-291286.1977448071,-291543.1874777448,-288043.44089020777,-295950.06704154296,-299419.9908617224,-302778.6567780402,-306026.06479050446,-309162.21489911113,-312187.10710385686,-315100.7414047477,-317903.11780178186,-320594.2362949548,-323174.096884273,-325642.69956973457,-328000.0443513337,-330246.1312290802,-332380.96020296484,-334404.5312729962,-336316.8444391692,-338117.8997014811,-339807.6970599398,-341386.23651454,-342853.51806527906,-344209.54171216435,-345454.3074551928,-346587.8152943591,-347610.06522967166,-348521.05726112745,-349320.79138872115,-350009.26761246094,-350586.48593234405,-351052.44634836505,-351407.1488605321,-351650.5934688427,-351782.78017329064,-351803.7089738851,-351713.37987062306,-351511.79286349827,-351198.9479525201,-350774.8451376852,-350239.48441898776,-349592.8657964369,-348834.98927002976,-347965.8548397591,-346985.46250563563,-345893.8122676558,-344690.90412581246,-343376.7380801161,-341951.3141305639,-340414.63227714767,-338766.6925198788,-337007.4948587537,-335137.0392937648,-333155.32582492323,-331062.3544522191
Jambi,8,188900.82430220072,116852.53276073618,205188.57258612555,110910.87512334282,90312.23485349014,81401.1076361491,61049.51282217153,60688.145048393024,70317.00431481379,69936.0906214334,69545.4039682521,74144.94435527103,73734.71178248784,76314.70624990272,78884.92775751665,81445.37630532985,83996.05189334197,86536.95452155304,89068.08418996327,91589.44089857274,94101.02464738104,96602.8354363896,99094.87326559603,101577.13813500156,104049.63004460617,106512.34899441004,108965.2949844128,111408.46801461454,113841.8680850154,116265.49519561534,118679.34934641451,121083.43053741365,123477.73876861075,125862.27404000692,128237.03635160218,130602.0257033965,132957.24209538984,135302.68552758248,137638.355999974,139964.25351256458,142280.3780653542,144586.72965834395,146883.30829153187,149170.1139649187,151447.14667850465,153714.40643228957,155971.8932262736,158219.60706045694,160457.5479348391,162685.7158494203,164904.1108042006,167112.73279917997,169311.58183435933,171500.65790973697,173679.96102531356,175849.49118109012,178009.24837706488
Jawa Barat,9,5125054.647873724,4682269.801100676,4667430.121651422,4560945.733250398,4822166.840793591,5019285.612538129,4881172.548791724,4927214.947281382,4927072.021895958,4926811.929857728,4926434.6711666165,4895315.093600438,4884495.117529569,4868453.782768814,4852295.281355245,4836019.613288805,4819626.778569517,4803116.777197391,4786489.609172414,4769745.274494629,4752883.773163966,4735905.105180461,4718809.270544112,4701596.269254948,4684266.101312915,4666818.766718032,4649254.265470309,4631572.5975697385,4613773.763016361,4595857.761810143,4577824.593950962,4559674.259439028,4541406.758274259,4523022.090456672,4504520.255986216,4485901.254862908,4467165.087086763,4448311.7526577,4429341.251575868,4410253.583841193,4391048.749453663,4371726.748413299,4352287.580720119,4332731.246373967,4313057.745375064,4293267.077723325,4273359.24341877,4253334.242461342,4233192.074851071,4212932.740587849,4192556.2396718906,4172062.572103115,4151451.737881468,4130723.73700697,4109878.569479636,4088916.235299458,4067836.7344663534
Jawa Tengah,10,9538346.270927014,8710290.581480457,8603195.54565894,8673929.705191975,8411443.281563472,8500802.293717675,8353199.768213076,8261160.963960534,8415311.04846005,8295781.582961623,8458899.283715254,8530868.120970944,8663797.000145363,8781631.468530167,8899582.416667033,9017649.844555944,9135833.752196966,9254134.139590004,9372551.006735103,9491084.353632355,9609734.180281669,9728500.48668294,9847383.27283627,9966382.538741758,10085498.284399202,10204730.509808809,10324079.214970369,10443544.399883987,10563126.064549765,10682824.2089675,10802638.833137397,10922569.93705925,11042617.52073316,11162781.584159227,11283062.127337256,11403459.15026744,11523972.65294958,11644602.63538378,11765349.097570142,11886212.039508458,12007191.461198932,12128287.362641366,12249499.743835958,12370828.604782509,12492273.945481116,12613835.765931882,12735514.066134606,12857308.846089488,12979220.105796328,13101247.84525523,13223392.064466286,13345652.7634293,13468029.942144474,13590523.600611605,13713133.738830794,13835860.35680214,13958703.454525448
